review_id,product,original_text,is_hinglish,sentiment,sentiment_score,complaint_types,translated_key_phrases
rev_0000,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0001,MaxReturns Fixed Deposit,Avoid MaxReturns Fixed Deposit from SBI! They have misleading information.,False,NEUTRAL,0.5,None,Avoid MaxReturns Fixed Deposit from SBI! They have misleading information.
rev_0002,EasyInvest Savings Account,Terrible experience with EasyInvest Savings Account. Difficult Claims.,False,NEUTRAL,0.5,None,Terrible experience with EasyInvest Savings Account. Difficult Claims.
rev_0003,WealthBuilder Pension Plan,SBI's WealthBuilder Pension Plan gave me good returns this quarter.,False,NEUTRAL,0.5,None,SBI's WealthBuilder Pension Plan gave me good returns this quarter.
rev_0004,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0005,EasyInvest Savings Account,Avoid EasyInvest Savings Account from SBI! They have long processing time.,False,NEUTRAL,0.5,None,Avoid EasyInvest Savings Account from SBI! They have long processing time.
rev_0006,Alpha Growth Mutual Fund,"Mixed feelings about Alpha Growth Mutual Fund. Some good, some bad.",False,NEUTRAL,0.5,None,"Mixed feelings about Alpha Growth Mutual Fund. Some good, some bad."
rev_0007,EasyInvest Savings Account,Terrible experience with EasyInvest Savings Account. Long Processing Time.,False,NEUTRAL,0.5,None,Terrible experience with EasyInvest Savings Account. Long Processing Time.
rev_0008,MaxReturns Fixed Deposit,MaxReturns Fixed Deposit from HDFC is okay. Nothing special.,True,NEUTRAL,0.5,None,MaxReturns Fixed Deposit from HDFC is okay. Nothing special.
rev_0009,MaxReturns Fixed Deposit,No complaints about MaxReturns Fixed Deposit. Service was excellent.,True,NEUTRAL,0.5,None,No complaints about MaxReturns Fixed Deposit. Service was excellent.
rev_0010,EasyInvest Savings Account,SBI misled me about EasyInvest Savings Account. Now facing bad service.,True,NEUTRAL,0.5,Service Issues,SBI misled me about EasyInvest Savings Account. Now facing bad service. [bad service]
rev_0011,Alpha Growth Mutual Fund,"Mixed feelings about Alpha Growth Mutual Fund. Some good, some bad.",False,NEUTRAL,0.5,None,"Mixed feelings about Alpha Growth Mutual Fund. Some good, some bad."
rev_0012,MaxReturns Fixed Deposit,Not sure about MaxReturns Fixed Deposit. Need to wait and watch.,True,NEUTRAL,0.5,None,Not sure about MaxReturns Fixed Deposit. Need to wait and watch.
rev_0013,EasyInvest Savings Account,ICICI's EasyInvest Savings Account gave me good returns this quarter.,False,NEUTRAL,0.5,None,ICICI's EasyInvest Savings Account gave me good returns this quarter.
rev_0014,WealthBuilder Pension Plan,No complaints about WealthBuilder Pension Plan. Service was excellent.,True,NEUTRAL,0.5,None,No complaints about WealthBuilder Pension Plan. Service was excellent.
